,CONCESSIONARIA,SUBGRUPO,MODALIDADE,TE FORA PONTA,TE PONTA,FATOR AJUSTE
0,AME,A3,Azul,272.76,456.17,0.5979349803801214
1,AME,A4,Azul,272.76,456.17,0.5979349803801214
2,AME,A4,Verde,272.76,456.17,0.5979349803801214
3,Boa Vista,A4,Azul,317.39,542.84,0.5846842531869427
4,Boa Vista,A4,Verde,317.39,542.84,0.5846842531869427
5,CASTRO - DIS,A4,Azul,201.63,201.63,1.0
6,CASTRO - DIS,A4,Verde,201.63,201.63,1.0
7,CEA,A3,Azul,215.6,322.12,0.6693157829380355
8,CEA,A3a,Azul,215.6,322.12,0.6693157829380355
9,CEA,A3a,Verde,215.6,322.12,0.6693157829380355
10,CEA,A4,Azul,215.6,322.12,0.6693157829380355
11,CEA,A4,Verde,215.6,322.12,0.6693157829380355
12,CEB,A2,Azul,335.75,543.08,0.6182330411725712
13,CEB,A3a,Azul,335.75,543.08,0.6182330411725712
14,CEB,A3a,Verde,335.75,543.08,0.6182330411725712
15,CEB,A4,Azul,335.75,543.08,0.6182330411725712
16,CEB,A4,Verde,335.75,543.08,0.6182330411725712
17,CEB,AS,Azul,335.75,543.08,0.6182330411725712
18,CEB,AS,Verde,335.75,543.08,0.6182330411725712
19,CEDRAP,A4,Azul,266.47,266.47,1.0
20,CEDRAP,A4,Verde,266.47,266.47,1.0
21,CEDRI,A4,Azul,269.21,269.21,1.0
22,CEDRI,A4,Verde,269.21,269.21,1.0
23,CEEE-D,A2,Azul,266.09,414.35,0.6421865572583564
24,CEEE-D,A3,Azul,266.09,414.35,0.6421865572583564
25,CEEE-D,A4,Azul,266.09,414.35,0.6421865572583564
26,CEEE-D,A4,Verde,266.09,414.35,0.6421865572583564
27,CEEE-D,AS,Azul,266.09,414.35,0.6421865572583564
28,CEEE-D,AS,Verde,266.09,414.35,0.6421865572583564
29,CEGERO,A4,Azul,194.01,194.01,1.0
30,CEGERO,A4,Verde,194.01,194.01,1.0
31,CEJAMA,A4,Azul,191.01,191.01,1.0
32,CEJAMA,A4,Verde,191.01,191.01,1.0
33,CELESC-DIS,A2,Azul,250.04,399.84,0.6253501400560224
34,CELESC-DIS,A3,Azul,250.04,399.84,0.6253501400560224
35,CELESC-DIS,A3a,Azul,250.04,399.84,0.6253501400560224
36,CELESC-DIS,A3a,Verde,250.04,399.84,0.6253501400560224
37,CELESC-DIS,A4,Azul,250.04,399.84,0.6253501400560224
38,CELESC-DIS,A4,Verde,250.04,399.84,0.6253501400560224
39,CELETRO,A4,Azul,251.92,251.92,1.0
40,CELETRO,A4,Verde,251.92,251.92,1.0
41,CELG-D,A2,Azul,287.91,466.35,0.6173689289160502
42,CELG-D,A3,Azul,287.91,466.35,0.6173689289160502
43,CELG-D,A3a,Azul,287.91,466.35,0.6173689289160502
44,CELG-D,A3a,Verde,287.91,466.35,0.6173689289160502
45,CELG-D,A4,Azul,287.91,466.35,0.6173689289160502
46,CELG-D,A4,Verde,287.91,466.35,0.6173689289160502
47,CELPE,A1,Azul,305.16,493.04,0.6189355833198118
48,CELPE,A3,Azul,305.16,493.04,0.6189355833198118
49,CELPE,A4,Azul,305.16,493.04,0.6189355833198118
50,CELPE,A4,Verde,305.16,493.04,0.6189355833198118
51,CEMIG-D,A2,Azul,231.69,379.31,0.6108196461996783
52,CEMIG-D,A3,Azul,231.69,379.31,0.6108196461996783
53,CEMIG-D,A3a,Azul,231.69,379.31,0.6108196461996783
54,CEMIG-D,A3a,Verde,231.69,379.31,0.6108196461996783
55,CEMIG-D,A4,Azul,231.69,379.31,0.6108196461996783
56,CEMIG-D,A4,Verde,231.69,379.31,0.6108196461996783
57,CEMIG-D,AS,Azul,231.69,379.31,0.6108196461996783
58,CEMIG-D,AS,Verde,231.69,379.31,0.6108196461996783
59,CEMIRIM,A4,Azul,210.64,210.64,1.0
60,CEMIRIM,A4,Verde,210.64,210.64,1.0
61,CEPRAG,A4,Azul,202.43,202.43,1.0
62,CEPRAG,A4,Verde,202.43,202.43,1.0
