CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,POSTO,UNIDADE,Total TUSD,Total TE
AME,A3,Azul,Não se aplica,Não se aplica,Ponta,MWh,31.69,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Ponta,kW,8.74,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,31.69,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Fora ponta,kW,7.12,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Ponta,MWh,84.42,456.17
AME,A3,Azul,Não se aplica,Não se aplica,Ponta,kW,8.74,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,84.42,272.76
AME,A3,Azul,Não se aplica,Não se aplica,Fora ponta,kW,7.12,0.0
AME,A3,Geração,Não se aplica,Não se aplica,Não se aplica,kW,9.64,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,117.07,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,62.87,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,117.07,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,33.92,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,182.53,456.17
AME,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,62.87,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,182.53,272.76
AME,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,33.92,0.0
AME,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,23.55,0.0
AME,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1640.31,0.0
AME,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,33.92,0.0
AME,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,117.07,0.0
AME,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1705.77,456.17
AME,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,33.92,0.0
AME,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,182.53,272.76
AME,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,2.45,0.0
AME,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,20.24,0.0
AME,B1,Branca,Residencial,Residencial,Ponta,MWh,1158.85,456.17
AME,B1,Branca,Residencial,Residencial,Intermediário,MWh,797.46,272.76
AME,B1,Branca,Residencial,Residencial,Fora ponta,MWh,436.06,272.76
AME,B1,Convencional,Residencial,Baixa Renda,Não se aplica,MWh,472.1,288.04
AME,B1,Convencional,Residencial,Residencial,Não se aplica,MWh,546.81,288.04
AME,B1,Convencional pré-pagamento,Residencial,Baixa Renda,Não se aplica,MWh,472.1,288.04
AME,B1,Convencional pré-pagamento,Residencial,Residencial,Não se aplica,MWh,546.81,288.04
AME,B2,Branca,Rural,Cooperativa de eletrificação rural,Ponta,MWh,1116.71,428.8
AME,B2,Branca,Rural,Cooperativa de eletrificação rural,Intermediário,MWh,766.05,256.39
AME,B2,Branca,Rural,Cooperativa de eletrificação rural,Fora ponta,MWh,415.38,256.39
AME,B2,Branca,Rural,Não se aplica,Ponta,MWh,1116.71,428.8
AME,B2,Branca,Rural,Não se aplica,Intermediário,MWh,766.05,256.39
AME,B2,Branca,Rural,Não se aplica,Fora ponta,MWh,415.38,256.39
AME,B2,Branca,Rural,Serviço público de irrigação rural,Ponta,MWh,1092.95,419.67
AME,B2,Branca,Rural,Serviço público de irrigação rural,Intermediário,MWh,749.75,250.94
AME,B2,Branca,Rural,Serviço público de irrigação rural,Fora ponta,MWh,406.54,250.94
AME,B2,Convencional,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,514.0,270.76
AME,B2,Convencional,Rural,Não se aplica,Não se aplica,MWh,514.0,270.76
AME,B2,Convencional,Rural,Serviço público de irrigação rural,Não se aplica,MWh,503.07,265.0
AME,B2,Convencional pré-pagamento,Rural,Cooperativa de eletrificação rural,Não se aplica,MWh,514.0,270.76
AME,B2,Convencional pré-pagamento,Rural,Não se aplica,Não se aplica,MWh,514.0,270.76
AME,B2,Convencional pré-pagamento,Rural,Serviço público de irrigação rural,Não se aplica,MWh,503.07,265.0
AME,B3,Branca,Não se aplica,Não se aplica,Ponta,MWh,1304.57,456.17
AME,B3,Branca,Não se aplica,Não se aplica,Intermediário,MWh,884.89,272.76
AME,B3,Branca,Não se aplica,Não se aplica,Fora ponta,MWh,465.21,272.76
AME,B3,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,546.81,288.04
AME,B3,Convencional pré-pagamento,Não se aplica,Não se aplica,Não se aplica,MWh,546.81,288.04
AME,B4,Convencional,Iluminação pública,Iluminação pública – B4a,Não se aplica,MWh,300.75,158.42
AME,B4,Convencional,Iluminação pública,Iluminação pública – B4b,Não se aplica,MWh,328.09,172.82
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,59.79,0.0
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,57.09,0.0
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,59.79,0.0
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,19.02,0.0
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Ponta,MWh,109.44,542.84
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Ponta,kW,57.09,0.0
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Fora ponta,MWh,109.44,317.39
Boa Vista,A4,Azul,Não se aplica,Não se aplica,Fora ponta,kW,19.02,0.0
Boa Vista,A4,Convencional,Não se aplica,Não se aplica,Não se aplica,MWh,0.0,336.18
Boa Vista,A4,Geração,Não se aplica,Não se aplica,Não se aplica,kW,14.98,0.0
Boa Vista,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1444.13,0.0
Boa Vista,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,19.02,0.0
Boa Vista,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,59.79,0.0
Boa Vista,A4,Verde,Não se aplica,Não se aplica,Ponta,MWh,1493.78,542.84
Boa Vista,A4,Verde,Não se aplica,Não se aplica,Não se aplica,kW,19.02,0.0
Boa Vista,A4,Verde,Não se aplica,Não se aplica,Fora ponta,MWh,109.44,317.39
Boa Vista,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,4.35,0.0
Boa Vista,B,Geração,Não se aplica,Não se aplica,Não se aplica,kW,21.45,0.0
Boa Vista,B1,Branca,Residencial,Residencial,Ponta,MWh,914.77,542.84
Boa Vista,B1,Branca,Residencial,Residencial,Intermediário,MWh,607.79,317.39
Boa Vista,B1,Branca,Residencial,Residencial,Fora ponta,MWh,300.83,317.39
