CONCESSIONARIA,SUBGRUPO,MODALIDADE,CLASSE,SUBCLASSE,DETALHE,POSTO,UNIDADE,ACESSANTE,Total TE,Total TUSD,TUSD_FioB
AME,A3,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,31.69,0.0
AME,A3,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,8.74,4.18540137818013
AME,A3,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,31.69,0.0
AME,A3,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,7.12,3.4022242672669
AME,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,456.17,84.42,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,8.74,4.18540137818013
AME,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,272.76,84.42,0.0
AME,A3,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,7.12,3.4022242672669
AME,A3,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,9.64,8.21279528468439
AME,A4,Azul,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,117.07,0.0
AME,A4,Azul,Não se aplica,Não se aplica,APE,Ponta,kW,Não se aplica,0.0,62.87,51.675293116035
AME,A4,Azul,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,117.07,0.0
AME,A4,Azul,Não se aplica,Não se aplica,APE,Fora ponta,kW,Não se aplica,0.0,33.92,27.2278242804326
AME,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,456.17,182.53,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Ponta,kW,Não se aplica,0.0,62.87,51.675293116035
AME,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,272.76,182.53,0.0
AME,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Fora ponta,kW,Não se aplica,0.0,33.92,27.2278242804326
AME,A4,Geração,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,23.55,23.3033246036581
AME,A4,Verde,Não se aplica,Não se aplica,APE,Ponta,MWh,Não se aplica,0.0,1640.31,1242.7923334624
AME,A4,Verde,Não se aplica,Não se aplica,APE,Não se aplica,kW,Não se aplica,0.0,33.92,27.2278242804326
AME,A4,Verde,Não se aplica,Não se aplica,APE,Fora ponta,MWh,Não se aplica,0.0,117.07,0.0
AME,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Ponta,MWh,Não se aplica,456.17,1705.77,1242.7923334624
AME,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Não se aplica,kW,Não se aplica,0.0,33.92,27.2278242804326
AME,A4,Verde,Não se aplica,Não se aplica,Não se aplica,Fora ponta,MWh,Não se aplica,272.76,182.53,0.0
